archetype_id,year,storage_power_gw,storage_energy_gwh
cost_optimal,2025,15.944388653216366,432.18375461286547
cost_optimal,2030,15.98780427443318,435.21722447711664
cost_optimal,2035,18.452845183336382,451.724752285278
cost_optimal,2040,28.634135413588403,528.1416016551661
cost_optimal,2045,26.62610865336574,545.9985435502776
cost_optimal,2050,37.0753056149048,612.5798903471427
fossil_incumbent,2025,15.021720000000002,428.49307999999996
fossil_incumbent,2030,14.991719999999999,428.48407999999995
fossil_incumbent,2035,16.43455265170367,439.62582470789096
fossil_incumbent,2040,24.354108662633866,502.0447275957034
fossil_incumbent,2045,46.419285507379485,673.1816826353197
fossil_incumbent,2050,26.732693180599878,514.2011965102237
storage_led,2025,15.944388653216368,432.18375461286547
storage_led,2030,15.98780427443318,435.21722447711664
storage_led,2035,23.79823455252189,491.00164600164425
storage_led,2040,34.25548867761973,566.6506806966618
storage_led,2045,29.014697230979756,561.9349677197289
storage_led,2050,37.98303136185347,620.4407079706915
cost_optimal,2025,15.021793257823575,428.4932196674875
cost_optimal,2030,15.088888213473284,428.8698594720652
cost_optimal,2035,15.018720729853948,428.86108496861254
cost_optimal,2040,15.819469884502414,433.63849367490707
cost_optimal,2045,16.9570797431927,468.74563765682456
cost_optimal,2050,16.247436783309578,463.8856827256055
fossil_incumbent,2025,15.021874053910768,428.49335958378526
fossil_incumbent,2030,15.06701105229909,428.7839503204417
fossil_incumbent,2035,15.606466653185784,432.8026128324615
fossil_incumbent,2040,15.772449753284716,433.9041961167053
fossil_incumbent,2045,20.47072730851179,496.28141984485376
fossil_incumbent,2050,16.367173425663353,463.00239587843157
gas_fleet_maintained,2025,15.021793257823575,428.4932196674875
nuclear_baseload,2025,15.02186489881729,428.4933504006366
nuclear_baseload,2030,15.086822859147254,428.8595729948248
nuclear_baseload,2035,15.017834595403924,428.8584159536512
nuclear_baseload,2040,15.82386542782787,433.6965935729095
nuclear_baseload,2045,17.230284544178136,470.95619971407103
nuclear_baseload,2050,16.216820546707,463.45478818561577
rapid_coal_phaseout,2025,15.021793257823575,428.4932196674875
rapid_coal_phaseout,2030,15.105277610060227,428.93291992135016
rapid_coal_phaseout,2035,15.360260021816412,430.761894788093
rapid_coal_phaseout,2040,16.324934583087856,436.80910656744635
rapid_coal_phaseout,2045,17.00069622834547,467.96313292249357
rapid_coal_phaseout,2050,17.665272791991764,473.75572877552094
storage_led,2025,15.021836515398167,428.4932663008792
storage_led,2030,33.915939050774384,447.40857562448633
storage_led,2035,38.635827159650844,455.48969439496835
storage_led,2040,38.447422167979205,489.986435533828
storage_led,2045,41.779874112474104,513.2769300661981
storage_led,2050,40.349629637621675,503.390827245707
